login,gist_created_at,gist_updated_at,files_total_size,history_total,history_additions,history_deletions,history_changes,gist_difference_at
simonharrer,2012-10-31,2020-04-06,1051,50,50,0,1,2714 days
jtornero,2015-09-16,2020-12-30,4090,84,84,0,1,1932 days
wpoely86,2014-12-21,2020-01-22,15756,196,195,1,6,1858 days
simonharrer,2012-11-30,2017-09-13,13634,302,299,3,8,1748 days
simonharrer,2011-06-03,2015-09-25,402,16,16,0,1,1575 days
simonharrer,2011-08-26,2015-09-26,652,29,29,0,1,1492 days
simonharrer,2016-12-07,2020-11-12,6238,271,239,32,3,1436 days
simonharrer,2011-10-28,2015-09-27,1003,46,46,0,1,1430 days
simonharrer,2011-12-27,2015-09-29,1812,58,58,0,1,1372 days
simonharrer,2012-03-05,2015-10-01,308,23,23,0,1,1305 days
simonharrer,2012-06-20,2015-10-06,1587,50,50,0,1,1203 days
simonharrer,2012-06-21,2015-10-06,2254,72,72,0,1,1202 days
Siedlerchr,2017-07-12,2020-09-30,11883,334,333,1,2,1176 days
simonharrer,2012-07-23,2015-10-07,86,3,3,0,1,1171 days
simonharrer,2012-10-12,2015-10-11,1766,54,54,0,1,1094 days
simonharrer,2012-11-05,2015-10-12,181,6,5,1,2,1071 days
simonharrer,2012-11-05,2015-10-12,165,5,4,1,4,1071 days
simonharrer,2012-11-05,2015-10-12,296,5,5,0,3,1071 days
simonharrer,2012-11-05,2015-10-12,398,8,8,0,1,1071 days
simonharrer,2012-11-05,2015-10-12,442,8,8,0,1,1071 days
simonharrer,2013-01-08,2015-12-10,612,58,45,13,2,1066 days
simonharrer,2013-01-21,2015-12-11,246,15,15,0,1,1054 days
simonharrer,2013-01-29,2015-12-11,457,54,37,17,3,1046 days
simonharrer,2012-12-03,2015-10-13,409,31,23,8,4,1044 days
simonharrer,2013-04-12,2015-12-16,526,33,33,0,1,978 days
igorsteinmacher,2013-10-16,2015-12-25,12905,225,142,83,10,800 days
jtornero,2014-01-16,2016-01-03,425,18,17,1,2,717 days
NicosPavlov,2014-01-16,2016-01-03,534,17,15,2,2,717 days
olenz,2014-02-14,2015-08-29,428559,251,250,1,3,561 days
matthiasgeiger,2014-02-19,2015-08-29,3600,53,53,0,1,556 days
jtornero,2014-03-11,2015-08-29,10718,121,121,0,1,536 days
jtornero,2014-03-12,2015-08-29,8551,72,72,0,1,535 days
jtornero,2014-03-12,2015-08-29,639,29,29,0,1,535 days
wpoely86,2014-03-13,2015-08-29,11384,220,220,0,1,534 days
jtornero,2014-03-19,2015-08-29,2279,94,94,0,1,528 days
wpoely86,2014-04-02,2015-08-29,663,12,12,0,1,514 days
simonharrer,2014-04-06,2015-08-29,870,33,33,0,1,510 days
jtornero,2014-04-29,2015-08-29,57312,602,602,0,1,487 days
boceckts,2019-04-16,2020-08-05,289,15,15,0,1,477 days
boceckts,2019-04-16,2020-08-05,182,11,11,0,1,477 days
jtornero,2014-05-30,2015-08-29,59794,185,185,0,1,456 days
jtornero,2014-06-08,2015-08-29,198,14,11,3,2,447 days
jtornero,2014-06-11,2015-08-29,1357,30,30,0,2,444 days
wpoely86,2014-06-18,2015-08-29,3821,123,123,0,1,437 days
wpoely86,2014-06-20,2015-08-29,1231,49,49,0,1,435 days
wpoely86,2014-07-18,2015-08-29,3073,79,79,0,1,407 days
jtornero,2014-07-19,2015-08-29,2428,22,22,0,1,406 days
wpoely86,2014-08-28,2015-08-29,14829,476,452,24,3,366 days
jtornero,2014-09-01,2015-08-29,3391,72,72,0,1,362 days
stefan-kolb,2014-09-26,2015-08-29,16520,169,169,0,1,337 days
