login,SUM de files_total_size,SUM de history_total,SUM de history_changes,AVERAGE de files_total_size,AVERAGE de history_total,AVERAGE de history_changes
egonw,1073711,40580,182,"10737,11","405,8","1,82"
jtornero,914581,8875,97,"19882,19565","192,9347826","2,108695652"
halirutan,7421383,37652,71,"239399,4516","1214,580645","2,290322581"
simonharrer,58333,2108,32,"1881,709677",68,"1,032258065"
boceckts,11034,447,23,"1576,285714","63,85714286","3,285714286"
wpoely86,1972105,49849,20,"131473,6667","3323,266667","1,333333333"
Siedlerchr,76408,2773,20,"7640,8","277,3",2
KOLANICH,29892,1050,10,"4270,285714",150,"1,428571429"
IngvarJackal,41649,2019,9,"4627,666667","224,3333333",1
tolot27,601,12,6,601,12,6
koppor,5637,166,4,"1409,25","41,5",1
davidemdot,18745,152,3,18745,152,3
chelseyong,3168,108,3,3168,108,3
tobiasdiez,4323,154,2,4323,154,2
stefan-kolb,17308,191,2,8654,"95,5",1
igorsteinmacher,32810,564,2,16405,282,1
solrex,6766,196,1,6766,196,1
olenz,428559,251,1,428559,251,1
NicosPavlov,534,17,1,534,17,1
matthiasgeiger,3600,53,1,3600,53,1
LinusDietz,362,18,1,362,18,1
hakova,3094,66,1,3094,66,1
Total geral,12124603,147301,492,"44250,37591","537,5948905","1,795620438"
